profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"DYNAMIC_LEDGER","historical:v1:ce3d20f73ea57898378e32fafa0fb2976ee78a3503ac5ca381f37c1d1da62d0c","1","1","1","0","1.0663833","1.93751332","1.93751332","181.69014087","4.3996504","1.93751332"
"DYNAMIC_LEDGER","historical:v1:4bb81aa607525a290b4d6e0e8f14e356ceafdb06c5e2a913f822d10723f628d0","1","1","1","0","1.41401689","1.91308167","1.91308167","135.29411731","4.3441717","1.91308167"
"DYNAMIC_LEDGER","historical:v1:b35fcc88f2f64adb1c7ba0343686bfe3d8d6ab34e5b129f4816b13257009c406","1","1","1","0","1.53044874","1.90876191","1.90876191","124.71910101","4.33436251","1.90876191"
"DYNAMIC_LEDGER","historical:v1:9bf24d0f7996cce9df892c7a3ce3d8bfa37e1f40fdc44c5cffb7c7855825948d","1","1","1","0","1.41401689","1.83659665","1.83659665","129.88505746","4.17049168","1.83659665"
"DYNAMIC_LEDGER","historical:v1:b1300353272ce7d3fb8950ec9f506cf8fb277a4365a8889a8187cd2e6fbc0d20","1","1","1","0","1.53044874","1.83317486","1.83317486","119.78021949","4.16272158","1.83317486"
"DYNAMIC_LEDGER","historical:v1:c5a615b145483c21773ae1acae5019ef88649402d8825ea3f6a02620a06a178d","1","1","1","0","1.53044874","1.83317486","1.83317486","119.78021949","4.16272158","1.83317486"
"DYNAMIC_LEDGER","historical:v1:b0c472f7659fb80ebfd275fd2afd90bd23f1fe4ec357013f566c2e3e5282a4fa","1","1","1","0","1.29927919","1.79424269","1.79424269","138.09523802","4.07431551","1.79424269"
"DYNAMIC_LEDGER","historical:v1:7bc14e55a36d7c869b782b948b90b4fb9d4319087012946c317305ba941be15b","1","1","1","0","1.53044874","1.76083887","1.76083887","115.05376325","3.99846306","1.76083887"
"DYNAMIC_LEDGER","historical:v1:49fc6b0f687b91a1a64aa52ea0beb17ab42b2f906612307d832da9735c02514d","1","1","1","0","1.29927919","1.75784832","1.75784832","135.29411796","3.9916722","1.75784832"
"DYNAMIC_LEDGER","historical:v1:b93196c46ca08c2af3ab87be28e7058dcdae5b818ad3deabdad0f9c0b083ffdf","1","1","1","0","1.29927919","1.75784832","1.75784832","135.29411796","3.9916722","1.75784832"
"DYNAMIC_LEDGER","historical:v1:6705ed8a9923ffd05f830978dac4d2192a2ae110726da4f1619a5abf1f74ce8e","1","1","1","0","1.04293943","1.73823238","1.73823238","166.66666635","3.94712888","1.73823238"
"DYNAMIC_LEDGER","historical:v1:8a9f092d8201410789fad3971de152e0bd27f41579b31cc8692d0555d8b75879","1","1","1","0","1.17962093","1.73302334","1.73302334","146.91358011","3.93530034","1.73302334"
"DYNAMIC_LEDGER","historical:v1:f15a7af4cc49efa0e11ba9e3483af28d2116838d76b0bcd845b3ef3a76a412b3","1","1","1","0","1.17962093","1.73302334","1.73302334","146.91358011","3.93530034","1.73302334"
"DYNAMIC_LEDGER","historical:v1:766fefb1e836c5d927cd51263249a758c8e20c53cfefcf178e284d4ce8b69ea3","1","1","1","0","1.37988972","1.72098606","1.72098606","124.71910147","3.90796643","1.72098606"
"DYNAMIC_LEDGER","historical:v1:7d238c475936103e5447f51b82d8b43e350a05c7a52f9cdc0638a16c5b0e9496","1","1","1","0","1.41401689","1.69371254","1.69371254","119.78021988","3.84603449","1.69371254"
"DYNAMIC_LEDGER","historical:v1:78be4fad8b10621ff83dacbe8085a771ff0724460cc213fd455c82d873f5d51d","1","1","1","0","0.88952727","1.68881264","1.68881264","189.85507212","3.83490794","1.68881264"
"DYNAMIC_LEDGER","historical:v1:22561cbee801e20533fe2822f2ead7126be7d796ea65c6ed7a258ca49076ad79","1","1","1","0","1.29927919","1.68756952","1.68756952","129.88505727","3.83208509","1.68756952"
"DYNAMIC_LEDGER","historical:v1:615a7d4deb0f2990d714fde0147eb724025a7e8af7b802a0c5cf3bf5da0e8e59","1","1","1","0","1.41401689","1.62687965","1.62687965","115.05376361","3.69427226","1.62687965"
"DYNAMIC_LEDGER","historical:v1:b0feea86b9d57a45e92df19d8d0a4e571e366da714d6eb59230e457247ed9cbc","1","1","1","0","1.41401689","1.62687965","1.62687965","115.05376361","3.69427226","1.62687965"
"DYNAMIC_LEDGER","historical:v1:e97f5a005caa5fb61893492d73f571cdf28c57d6767064a9b671221b7f524b2f","1","1","1","0","1.53044874","1.62511567","1.62511567","106.18556686","3.69026666","1.62511567"
"DYNAMIC_LEDGER","historical:v1:cfebc33035d2c2604e12870210555eb87532f158d90df409a7c7d1b888b0b9cb","1","1","1","0","1.29927919","1.62044933","1.62044933","124.71910137","3.67967047","1.62044933"
"DYNAMIC_LEDGER","historical:v1:e68e2f4015831cf03f64988318735c861f3c48aba456da9916be9848fa5129d5","1","1","1","0","1.29927919","1.62044933","1.62044933","124.71910137","3.67967047","1.62044933"
"DYNAMIC_LEDGER","historical:v1:2d9dc1a495f96aac5355f85790a711e58379997049f1b0234a4364e1e2482a98","1","1","1","0","1.04293943","1.59741356","1.59741356","153.16455722","3.62736149","1.59741356"
"DYNAMIC_LEDGER","historical:v1:0923ae9aaeae31fd6bee9e13ceaa0152e9ca9357407768b30acf8634f80b02c4","1","1","1","0","1.37988972","1.58761505","1.58761505","115.05376314","3.60511131","1.58761505"
"DYNAMIC_LEDGER","historical:v1:32517b43089c0321073c9e8b1d8679c7a09870ad09d3cc054ca9164a581ee655","1","1","1","0","1.0663833","1.56666189","1.56666189","146.9135807","3.55753147","1.56666189"
"DYNAMIC_LEDGER","historical:v1:9686be44f4abab3c44e4b3709d9ecc6cc99ba13329151c7627faf5406ce42675","1","1","1","0","1.0663833","1.56666189","1.56666189","146.9135807","3.55753147","1.56666189"
"DYNAMIC_LEDGER","historical:v1:33cadd30e7645b92f98da847c8ae2c51a879187b4796c23b9a749528977d2723","1","1","1","0","1.53044874","1.5613669","1.5613669","102.02020226","3.54550776","1.5613669"
"DYNAMIC_LEDGER","historical:v1:d2c8370f05abac67e5172450d11b84bf2161d5a2d1ca9b4d4e2c04517105aa01","1","1","1","0","1.17962093","1.53215132","1.53215132","129.88505723","3.47916585","1.53215132"
"DYNAMIC_LEDGER","historical:v1:51827a50849e50991750d7bb9e11c44d032395a871cf08f0baa3c74302f2b0c1","1","1","1","0","1.37988972","1.52514127","1.52514127","110.52631583","3.46324762","1.52514127"
"DYNAMIC_LEDGER","historical:v1:2b12427a8c6987aa222ca683a9352f38330f65566995bca87cbef7f0a2b4e83f","1","1","1","0","0.94924245","1.51632236","1.51632236","159.74026025","3.44322189","1.51632236"
"DYNAMIC_LEDGER","historical:v1:1323669158f0d97b4f31e669253c8da172797027cc3bb6a8be553599e84d60be","1","1","1","0","1.41401689","1.50148185","1.50148185","106.18556685","3.40952248","1.50148185"
"DYNAMIC_LEDGER","historical:v1:47348dc51c9a9630a17bfe7763b65117849dd3236ae1fd063b0b1f0ab42fc8e3","1","1","1","0","1.0663833","1.44275388","1.44275388","135.29411798","3.27616467","1.44275388"
"DYNAMIC_LEDGER","historical:v1:a38e583c263cc83629432ff8db774e8197d43ddc63fc97e7f535f8859d725660","1","1","1","0","1.17962093","1.41295254","1.41295254","119.78021957","3.20849263","1.41295254"
"DYNAMIC_LEDGER","historical:v1:52a39188184bdd05329d8e89a89f54db585809f6d430e18da73eaf50ed324c2c","1","1","1","0","1.37988972","1.40776628","1.40776628","102.02020202","3.19671582","1.40776628"
"DYNAMIC_LEDGER","historical:v1:568fd8dd1e309546e6a6b4df62e50619bdf525c7064708ecea4c75702b2e0976","1","1","1","0","0.94924245","1.39456607","1.39456607","146.9135804","3.16674115","1.39456607"
"DYNAMIC_LEDGER","historical:v1:8c025a070eb5840167bd2e9e6b960a343f2180822bc3f5085cb6845ed8d9a057","1","1","1","0","1.17962093","1.35719827","1.35719827","115.05376308","3.08188741","1.35719827"
"DYNAMIC_LEDGER","historical:v1:3ea2a6cfdadf4c5a90e386f609e6f137d632f155221564f5f882b2c919aab822","1","1","1","0","0.94924245","1.33808875","1.33808875","140.96385491","3.03849406","1.33808875"
"DYNAMIC_LEDGER","historical:v1:f779302b826b9a0f17bdffe031400ecb2fc4f4107e467e14f0aee64ec02b1ba0","1","1","1","0","0.94924245","1.2842692","1.2842692","135.29411796","2.91628214","1.2842692"
"DYNAMIC_LEDGER","historical:v1:56781be8d29459721cdc6bc2ee536ba3ed6b0c5cff772b89755732175a94b7a2","1","1","1","0","1.0663833","1.27731626","1.27731626","119.78021974","2.90049361","1.27731626"
"DYNAMIC_LEDGER","historical:v1:6253c36b3fdfc0fbc3f4c08657f6b3bcdf4d03e6961a50eec251c32f9a4c9450","1","1","1","0","0.94924245","1.13700469","1.13700469","119.78021948","2.58187806","1.13700469"
"DYNAMIC_LEDGER","historical:v1:14e1c9ef7305223f2ffbe1f51f15583adf263df421ea88f1638fbcd9514706a2","1","1","1","0","0.94924245","1.09213916","1.09213916","115.05376314","2.47999869","1.09213916"
"DYNAMIC_LEDGER","historical:v1:c6e9fc9bbdb612d59385efd0976db769b18571edf47b58ef9068a59784400281","1","1","1","0","0.94924245","1.09213916","1.09213916","115.05376314","2.47999869","1.09213916"
"DYNAMIC_LEDGER","historical:v1:5f0c50016ba030d88e1e5312d14bd611bb09301f714c49f7ea32d8787f9b54a7","1","1","1","0","1.04293943","1.06400891","1.06400891","102.02020169","2.41612131","1.06400891"
"DYNAMIC_LEDGER","historical:v1:2ec4f41220ace977fd1dd3fc5bbc9d5a92ddeddc1807c5d17036ccce83f1ece2","1","1","1","0","0.9307259","1.02869705","1.02869705","110.52631607","2.33593614","1.02869705"
"DYNAMIC_LEDGER","historical:v1:2599da6e671b59601beb25786ca05bc71353b17afff811fda8e497ca1013b813","1","1","1","0","0.94924245","0.96841907","0.96841907","102.02020253","2.19905861","0.96841907"
"DYNAMIC_LEDGER","historical:v1:2adb0d4c0484b27e4b0309acf37eb3a9ace683434aec9f9b8ab5508bbc08edbf","1","1","0","1","0.94924245","-0.94924245","-0.94924245","-100","-2.15551288","-0.94924245"
"DYNAMIC_LEDGER","historical:v1:4251c5c5617cde79e831653193bd2b87e0b495becaa218f04e4255a8e490cb75","1","1","0","1","0.94924245","-0.94924245","-0.94924245","-100","-2.15551288","-0.94924245"
"DYNAMIC_LEDGER","historical:v1:bba9958f46f2f2ddab9d9b3e20ba0d2d8b61d8d69562ef06231f0fae2f39f19f","1","1","0","1","0.94924245","-0.94924245","-0.94924245","-100","-2.15551288","-0.94924245"
"DYNAMIC_LEDGER","historical:v1:14dddd99f7309535765058d4b5f5bf637619aaa250f34115141930886616c3bf","1","1","0","1","1.04293943","-1.04293943","-1.04293943","-100","-2.36827733","-1.04293943"
"DYNAMIC_LEDGER","historical:v1:170894fdc7a907250557679c5ae2b595cafda4dcc09bfb9ab5893468d166a2c5","1","1","0","1","1.04293943","-1.04293943","-1.04293943","-100","-2.36827733","-1.04293943"
"DYNAMIC_LEDGER","historical:v1:3658d9f1579362193e2333eaa34dc5e94cbe0c9f337365167c352de0fe539e64","1","1","0","1","1.04293943","-1.04293943","-1.04293943","-100","-2.36827733","-1.04293943"
"DYNAMIC_LEDGER","historical:v1:f1e8cff7c1169a72f0a14575b78ab8f2dfc2e62511d1844071665857f5a11b18","1","1","0","1","1.04293943","-1.04293943","-1.04293943","-100","-2.36827733","-1.04293943"
"DYNAMIC_LEDGER","historical:v1:04ab2bc5ce518fdb4b3a49031fa26efee5ab0a81690071682fc3da00d4f44a60","1","1","0","1","1.0663833","-1.0663833","-1.0663833","-100","-2.42151301","-1.0663833"
"DYNAMIC_LEDGER","historical:v1:48d3531fe554aafc5443faa6950a6deaaad7465526663399f0179c3d15100c73","1","1","0","1","1.0663833","-1.0663833","-1.0663833","-100","-2.42151301","-1.0663833"
"DYNAMIC_LEDGER","historical:v1:8a6b5eaeaf25e6f9bfcec5cde0931cc23cb6f54c3af1cde205ebb64dfb9a1114","1","1","0","1","1.0663833","-1.0663833","-1.0663833","-100","-2.42151301","-1.0663833"
"DYNAMIC_LEDGER","historical:v1:fe983c6876d47cf5f0d809c695c22e33292ce68573563c1a98fc59da368f99b6","1","1","0","1","1.0663833","-1.0663833","-1.0663833","-100","-2.42151301","-1.0663833"
"DYNAMIC_LEDGER","historical:v1:0fafd67281e9d0429346d425660b69e3ed7be40adecd5daac0360c0ae7c4ac75","1","1","0","1","1.17962093","-1.17962093","-1.17962093","-100","-2.67864982","-1.17962093"
"DYNAMIC_LEDGER","historical:v1:d50318c8aff66e659ebf5da25937df3633451f6e949e998658cde7485400a4c9","1","1","0","1","1.17962093","-1.17962093","-1.17962093","-100","-2.67864982","-1.17962093"
"DYNAMIC_LEDGER","historical:v1:e7aaddc1efe0345f5d6e9eb137e4af57ae9bccb2f6236db107cef91fd0b02b21","1","1","0","1","1.17962093","-1.17962093","-1.17962093","-100","-2.67864982","-1.17962093"
"DYNAMIC_LEDGER","historical:v1:55c07e91e5c1cbfdf27126b78224aa0d997c2c8cd5b6d9e4e7760dda726c1826","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
"DYNAMIC_LEDGER","historical:v1:72480bc67cbc0b7fbb1b4d2e7b4fd6c4ef71141c8121ec1caea5ee7f022f6ffc","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
"DYNAMIC_LEDGER","historical:v1:a3648643d46e04b352d5bddd240204bdd5331733f8bf681be9e047a574703a9e","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
"DYNAMIC_LEDGER","historical:v1:e446bf7e805f88b591e1cbde7a7e614c068a51834b6f41ebd68e26c2ff73e852","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
"DYNAMIC_LEDGER","historical:v1:f651e30274a7a9151c8441bccf00d2c14546ff3f7fe7e76ee813ce8978c3d75e","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
"DYNAMIC_LEDGER","historical:v1:20439111c34db82fa710b64a2e3b49846da770ce1cf984e956fac8acd8c4317c","1","1","0","1","1.37988972","-1.37988972","-1.37988972","-100","-3.13341451","-1.37988972"
"DYNAMIC_LEDGER","historical:v1:58dea7f1d41c07c3c1e9d3a29389906c30b5c4c74e255b11be967933ba98005e","1","1","0","1","1.37988972","-1.37988972","-1.37988972","-100","-3.13341451","-1.37988972"
"DYNAMIC_LEDGER","historical:v1:a814732463610a09842e98015b39399a244273cddde2f82bb723cb2b7d963785","1","1","0","1","1.37988972","-1.37988972","-1.37988972","-100","-3.13341451","-1.37988972"
"DYNAMIC_LEDGER","historical:v1:ba743a1257768941f09064182a8b36e3e5b31aa36b15131181df398301a46f64","1","1","0","1","1.37988972","-1.37988972","-1.37988972","-100","-3.13341451","-1.37988972"
"DYNAMIC_LEDGER","historical:v1:0b8ac889027c430ec250d68a630d93f702bdf33de7386bb3b85e74e56db2c9ca","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:309527c6b8ee1c605d3c6e9deaf2ea4e3bf4517b7bee770b8021e91eabb20feb","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:5a226e09b1367701f294cdaa4a89410fa2d98d1c7ccc5255a5d60d018053ddc2","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:601b4dead21e0299e21b0d7afb3cca333e15bdfd7f85d291f6e695e2ae727747","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:b8df2fbef5d60372bebbf7d8d3588219ee1b16e022e92806d925cf3d0b03acbc","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:cd97977ec4d1dff8e1eaefe4f3cbb2af04c0bc71e877f7a36afd6ad8790c8fd1","1","1","0","1","1.41401689","-1.41401689","-1.41401689","-100","-3.21090953","-1.41401689"
"DYNAMIC_LEDGER","historical:v1:0a03f686638ceec8b444f8dda351368fe0c51d3f59909c073df0f83539492485","1","1","0","1","1.53044874","-1.53044874","-1.53044874","-100","-3.47529968","-1.53044874"
"DYNAMIC_LEDGER","historical:v1:8869163bcb636cb13c1dfcec910c278967598b6cb44b091092dff82e0bd33ae9","1","1","0","1","1.53044874","-1.53044874","-1.53044874","-100","-3.47529968","-1.53044874"
"DYNAMIC_LEDGER","historical:v1:8f85ba19559bd0fdb8935c9b0df8aeb55e826eac8af83766e4ae48f364839d91","1","1","0","1","1.53044874","-1.53044874","-1.53044874","-100","-3.47529968","-1.53044874"
